transactionId,payoutId,salesRecordReference,transactionType,bookingEntry,transactionDate,transactionStatus,transactionMemo,paymentsEntity,references,feeType,amount.value,amount.currency,orderId,orderLineItems,buyer.username,totalFeeBasisAmount.value,totalFeeBasisAmount.currency,totalFeeAmount.value,totalFeeAmount.currency,ebayCollectedTaxAmount.value,ebayCollectedTaxAmount.currency
FEE-7649376137619_11,7435248883,0,NON_SALE_CHARGE,DEBIT,2026-04-04T03:55:14.682Z,PAYOUT,Promoted Listings - General fee,eBay Commerce Inc.,"[{'referenceId': '358348985182', 'referenceType': 'ITEM_ID'}, {'referenceId': '13-14452-04831', 'referenceType': 'ORDER_ID'}]",AD_FEE,14.82,USD,,,,,,,,,
13-14452-04831,7448303251,0,SALE,CREDIT,2026-04-04T03:50:08.070Z,PAYOUT,,eBay Commerce Inc.,,,208.38,USD,13-14452-04831,"[{'lineItemId': '10082133139213', 'feeBasisAmount': {'value': '269.38', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '37.63', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '3.55', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in United States. Final amount: $269.38.'}]}]",thebestnullcards,250.0,USD,41.62,USD,19.38,USD
04-14459-62947,7435248883,0,SALE,CREDIT,2026-04-02T21:14:46.928Z,PAYOUT,,eBay Commerce Inc.,,,248.9,USD,04-14459-62947,"[{'lineItemId': '10080365617004', 'feeBasisAmount': {'value': '318.98', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '44.56', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '4.21', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in United States. Final amount: $318.98.'}]}]",castelblanco2z2c,298.11,USD,49.21,USD,20.87,USD
INVOICE-26fa8a7c84969d4b16350dc1e5853d47_182,7426084723,0,ADJUSTMENT,CREDIT,2026-04-02T21:02:39.117Z,PAYOUT,TAX Only Credit,,,,0.03,USD,,,,,,,,,
INVOICE-7641878440319_11,7424553811,0,NON_SALE_CHARGE,DEBIT,2026-04-01T17:31:02.005Z,PAYOUT,2026-03-31 - 2026-04-29,,,OTHER_FEES,65.95,USD,,,,,,,,,
FEE-7641636059019_11,7424553811,0,NON_SALE_CHARGE,DEBIT,2026-04-01T16:09:29.833Z,PAYOUT,Promoted Listings - General fee,eBay Commerce Inc.,"[{'referenceId': '358327258670', 'referenceType': 'ITEM_ID'}, {'referenceId': '10-14444-89541', 'referenceType': 'ORDER_ID'}]",AD_FEE,11.09,USD,,,,,,,,,
10-14444-89541,7436883427,0,SALE,CREDIT,2026-04-01T16:05:32.966Z,PAYOUT,,eBay Commerce Inc.,,,158.94,USD,10-14444-89541,"[{'lineItemId': '10080796639910', 'feeBasisAmount': {'value': '201.62', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '28.17', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '2.66', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in United States. Final amount: $201.62.'}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}]}]",tedav8944,190.21,USD,31.27,USD,11.41,USD
FEE-7639622501119_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-31T20:59:37.913Z,PAYOUT,Promoted Listings - General fee,eBay Commerce Inc.,"[{'referenceId': '358290504735', 'referenceType': 'ITEM_ID'}, {'referenceId': '07-14446-37830', 'referenceType': 'ORDER_ID'}]",AD_FEE,7.62,USD,,,,,,,,,
07-14446-37830,7440053875,0,SALE,CREDIT,2026-03-31T20:56:25.874Z,PAYOUT,,eBay Commerce Inc.,,,108.13,USD,07-14446-37830,"[{'lineItemId': '10084840432107', 'feeBasisAmount': {'value': '138.6', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '19.36', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '2.06', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in United States. Final amount: $138.60.'}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}]}]",jechra-0,129.99,USD,21.86,USD,8.61,USD
FEE-7637804224219_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-31T00:31:15.313Z,PAYOUT,Promoted Listings - General fee,eBay Commerce Inc.,"[{'referenceId': '358348984799', 'referenceType': 'ITEM_ID'}, {'referenceId': '06-14444-05433', 'referenceType': 'ORDER_ID'}]",AD_FEE,19.05,USD,,,,,,,,,
06-14444-05433,7435248883,0,SALE,CREDIT,2026-03-31T00:28:56.912Z,PAYOUT,,eBay Commerce Inc.,,,266.01,USD,06-14444-05433,"[{'lineItemId': '10080619438906', 'feeBasisAmount': {'value': '346.39', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '48.39', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '5.15', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in United States. Final amount: $346.39.'}]}]",arr_36949,319.99,USD,53.98,USD,26.4,USD
FEE-10147548429_42,7422552379,0,NON_SALE_CHARGE,CREDIT,2026-03-29T20:57:03.099Z,PAYOUT,Promoted Listings - General fee,eBay Commerce Inc.,"[{'referenceId': '358353805857', 'referenceType': 'ITEM_ID'}, {'referenceId': '20-14414-18992', 'referenceType': 'ORDER_ID'}]",AD_FEE,14.71,USD,,,,,,,,,
RRP-6666030078-CCM_CHARGE,7422552379,0,REFUND,DEBIT,2026-03-29T20:46:57.783Z,PAYOUT,,eBay Commerce Inc.,"[{'referenceId': '5434768349', 'referenceType': 'CANCELLATION_ID'}]",,208.21,USD,20-14414-18992,"[{'lineItemId': '10079646326820', 'feeBasisAmount': {'value': '267.49', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '3.97', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '37.37', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}]}]",cosmofern,249.99,USD,41.78,USD,17.5,USD
FEE-7633308811219_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T02:57:25.170Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271601227', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633306950719_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T02:56:24.473Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271597352', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633236294919_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T02:10:29.716Z,PAYOUT,Promoted Listings - General fee,eBay Commerce Inc.,"[{'referenceId': '358353805857', 'referenceType': 'ITEM_ID'}, {'referenceId': '20-14414-18992', 'referenceType': 'ORDER_ID'}]",AD_FEE,14.71,USD,,,,,,,,,
20-14414-18992,7422552379,0,SALE,CREDIT,2026-03-29T02:06:09.663Z,PAYOUT,,eBay Commerce Inc.,,,208.21,USD,20-14414-18992,"[{'lineItemId': '10079646326820', 'feeBasisAmount': {'value': '267.49', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '37.37', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '3.97', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in United States. Final amount: $267.49.'}]}]",cosmofern,249.99,USD,41.78,USD,17.5,USD
FEE-7633134548119_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T01:14:33.666Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271272751', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633129884119_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T01:11:31.852Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271268636', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633125621819_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T01:09:09.706Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271258838', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633121926019_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T01:06:32.243Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271253182', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633119720419_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T01:06:12.677Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271249917', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633118293219_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T01:05:14.266Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271246606', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633116754819_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T01:03:54.493Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271243497', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633115139519_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T01:02:33.154Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271241803', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633108849019_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T00:58:38.160Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271236435', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633100265819_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T00:55:12.835Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271226729', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633097593219_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T00:53:39.341Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271224375', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633091135319_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T00:49:31.557Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271210014', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633083685619_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T00:42:32.182Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271186659', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7633038584719_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-29T00:03:28.523Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358271080600', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632976092219_11,7422552379,0,NON_SALE_CHARGE,DEBIT,2026-03-28T23:20:51.981Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270946997', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632941759119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:56:04.238Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270867251', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632938055019_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:55:02.463Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270858827', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632936993319_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:53:38.019Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270855681', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632933443819_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:51:32.790Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358327169461', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632932866519_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:51:03.501Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270848860', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632932189119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:50:53.227Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270844852', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632932185319_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:50:52.248Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270846289', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632930669019_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:49:29.040Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270840440', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632930233519_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:49:16.339Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270838624', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632929681319_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:48:36.058Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270836691', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632928962919_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:48:15.559Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270836097', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632928395819_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:48:14.108Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270835126', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632925954319_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:46:32.204Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270831716', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632925244619_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:46:25.190Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270830650', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632923293619_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:45:49.701Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270828409', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632924217819_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:45:48.745Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270829564', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632922538319_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:45:32.221Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270827364', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632921647519_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:45:11.295Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270825783', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632919956419_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:44:17.324Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270824615', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632918317119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:43:11.415Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270823693', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632917047119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:42:32.958Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270823112', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632916153119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:41:33.165Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270822588', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632915396719_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:41:25.092Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270822143', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632913210019_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:40:51.810Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270821199', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632914320119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:40:48.239Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270821780', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632912140719_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:40:08.871Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270820648', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632911147819_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:39:47.976Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270820222', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632910478219_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:39:32.538Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270819832', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632908778919_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:38:41.157Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270818969', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632909335519_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:38:35.741Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270819270', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632907095219_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:38:14.417Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270815702', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632907394319_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:38:13.326Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270817092', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632908508219_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:38:12.548Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270818566', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632906832519_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:37:32.810Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270814870', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
