asin,status,error_message,jp_lowest_price_y,us_lowest_price_d,us_lowest_price_y,ca_lowest_price_d,ca_lowest_price_y,us_existence,ca_existence,Sales_Category,length,width,height,total_size,actual_weight,dim_weight,chargeable_weight,jp_shipping_fee,us_shipping_fee,ca_shipping_fee,MyUS_shipping_fee,jp_sourcing_price,jp_sourcing_fulfillment,jp_sourcing_buybox,jp_sourcing_handling_days,jp_sourcing_feedback_count,jp_sourcing_feedback_percent,us_target_price_d,us_target_price_y,us_is_profitable,ca_target_price_d,ca_target_price_y,ca_is_profitable
B0013N459K,success,,12763.0,223.87,35855.0,405.94,46773.0,1,1,輸出向き,51.199999947776,27.799999971644002,26.399999973072,105.399999892492,7139.53808,7515.340777003057,7515.340777003057,1870.0,11182.0,11182.0,11119.908800000001,13897.0,FBM,0,2.0,2603.0,91.0,260.97860472860475,41798.333333333336,1,334.85562514408673,38583.07692307693,1
B0013N85NC,success,,12973.0,197.05,31559.0,325.99,37561.0,1,1,輸出向き,49.79999994920401,27.199999972256,24.799999974704,101.799999896164,6880.99064,6718.61757944103,6880.99064,1870.0,10512.0,10512.0,10589.7792,13897.0,FBM,0,2.0,2603.0,91.0,254.0064102564103,40681.66666666667,0,325.90976331360946,37552.307692307695,1
B0013NBTUI,success,,12302.0,211.2,33825.0,386.8,44568.0,1,1,輸出向き,47.799999951244004,27.199999972256,24.9999999745,99.999999898,6921.81392,6500.799980107552,6921.81392,1540.0,10512.0,10512.0,10589.7792,13897.0,FBM,0,2.0,2603.0,91.0,254.0064102564103,40681.66666666667,1,325.90976331360946,37552.307692307695,1
1420089277,success,,32377.0,111.75,17897.0,265.44,30584.0,1,1,輸入向き,26.00959997347021,18.592799981035345,4.495799995414284,49.098199949919845,1428.9988331515362,434.82594377709347,1428.9988331515362,1010.0,4285.0,4285.0,5523.9184000000005,30766.0,FBM,0,2.0,144562.0,84.0,364.7498334998335,58418.333333333336,0,468.0020940597864,53924.61538461539,0
B000QCQCFO,success,,15400.0,146.78,23508.0,,,1,1,輸出向き(競合なし),19.999999979600002,14.399999985312,7.399999992452001,41.799999957364,780.17824,426.2399986957056,780.17824,1010.0,4088.0,4088.0,4527.723199999999,18280.0,FBM,0,7.0,8358.0,91.0,232.76723276723277,37280.0,0,,,0
B00006591M,success,,33280.0,264.65,42386.0,,,1,1,輸出向き(競合なし),19.399999980211998,14.199999985516,6.199999993676,39.799999959404,898.1292666328825,341.5951989547186,898.1292666328825,1010.0,4088.0,4088.0,4527.723199999999,33280.0,FBA,1,,0.0,0.0,388.8611388611389,62280.00000000001,0,,,0
B000I8OI20,success,,20409.0,178.85000000000002,28644.0,407.22,46921.0,1,1,輸出向き,19.799999979804003,13.99999998572,9.599999990208,43.399999955732,739.9918429795612,532.2239983713947,739.9918429795612,1010.0,4088.0,4088.0,4527.723199999999,20409.0,FBA,0,,911.0,82.0,254.9221611721612,40828.333333333336,0,327.08474218089606,37687.69230769231,1
0201503972,success,,24874.0,88.94,14244.0,157.10999999999999,18102.0,1,1,輸入向き,24.104599975413308,16.10359998357433,5.20699999468886,45.41519995367649,1169.9990446377167,404.2411079566063,1169.9990446377167,1010.0,4285.0,4285.0,4524.5199999999995,30138.0,FBM,0,8.0,160.0,100.0,358.214701964702,57371.66666666667,0,459.61701759778686,52958.461538461546,0
1032481560,success,,13291.0,58.21,9322.0,108.35000000000001,12484.0,1,1,輸入向き,23.699999975826,15.699999983986,2.399999997552,41.799999957364,596.9995125202709,178.6031994534742,596.9995125202709,1010.0,4088.0,4088.0,4527.723199999999,9322.0,FBA,1,,384.0,91.0,139.54795204795204,22349.999999999996,0,179.05075693537233,20630.769230769234,0
1118642066,success,,21444.0,111.99,17936.0,209.9,24185.0,1,1,双方向,26.18739997328885,18.897599980724447,5.20699999468886,50.291999948702156,2367.9980664120626,515.3669996869129,2367.9980664120626,1250.0,5156.0,5156.0,6095.689600000001,17936.0,FBA,0,,8783.0,92.0,240.30136530136534,38486.66666666667,0,308.3251364020595,35526.15384615385,0
B00004YOH7,success,,21520.0,224.0,35875.0,320.03,36874.0,1,1,輸出向き,42.595799956552284,20.396199979195874,11.506199988263678,74.49819992401183,2861.997663036876,1999.299945235533,2861.997663036876,1250.0,5944.0,5944.0,6721.9151999999995,27000.0,FBM,0,6.0,4341.0,91.0,342.8238428238429,54906.66666666667,0,439.86936140782296,50683.07692307693,0
B000639BLU,success,,16620.0,147.8,23671.0,,,1,1,輸出向き(競合なし),19.599999980008,13.99999998572,6.199999993676,39.799999959404005,480.819607386929,340.25599895881663,480.819607386929,1010.0,3639.0,3639.0,4527.723199999999,16620.0,FBA,1,0.0,0.0,0.0,210.82042957042958,33765.0,0,,,0
1398541567,success,,11574.0,72.0,11531.0,96.93,11168.0,1,1,輸入向き,25.99999997348,21.399999978172,12.99999998674,60.39999993839201,2859.9976646699743,1446.6399955732818,2859.9976646699743,1250.0,5944.0,5944.0,6721.9151999999995,11168.0,FBA,1,,440.0,100.0,178.07192807192808,28520.0,0,228.47998155690465,26326.15384615385,0
B00093ESSI,error,安全な仕入先なし,,,,,,0,0,None,,,,,,,,,,,,,,0,,,,,,0,,,0
270057124X,success,,15772.0,103.33999999999999,16550.0,74.95,8635.0,1,1,双方向,23.699999975826,18.199999981436,4.899999995002,46.799999952263995,909.9992569404465,422.7131987064976,909.9992569404465,1010.0,4088.0,4088.0,4524.5199999999995,8635.0,FBA,1,,0.0,0.0,132.39885114885115,21205.0,0,169.87791055098748,19573.846153846156,0
B001B56JYY,success,,34138.0,267.46,42836.0,,,1,1,輸出向き(競合なし),19.199999980416,13.99999998572,5.599999994288,38.799999960423996,762.0345599999999,301.0559990787686,762.0345599999999,1010.0,4088.0,4088.0,4527.723199999999,42673.0,FBM,0,6.0,2804.0,96.0,486.6071428571429,77935.0,0,,,0
B000232BT8,success,,10570.0,105.56,16906.0,244.11,28127.0,1,1,輸出向き,19.799999979804003,13.99999998572,2.199999997756,35.999999963280004,281.229770361936,121.96799962677794,281.229770361936,1010.0,3639.0,3639.0,4005.6016,10570.0,FBA,1,,0.0,0.0,147.86255411255414,23681.66666666667,0,189.719030969031,21860.000000000004,1
